Index,Book Name,Author,Rating,Number of Votes,Score
2060,The Deserter (Scott Brodie & Maggie Taylor #1),Nelson DeMille,4.07,17219,3259
2061,"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela Chen,4.35,17025,3257
2062,Deep Utopia: Life and Meaning in a Solved World,Nick Bostrom,3.94,446,3251
2063,Solitaire,Alice Oseman,3.92,125926,3250
2064,"Beg For Mercy (Mercy, #3)",Lucian Bane,4.24,757,3246
2065,"Eyes of the Void (The Final Architecture, #2)",Adrian Tchaikovsky,4.2,15570,3242
2066,Brotherhood of the Goat (Alex Mason #10),David Archer,4.43,2692,3239
2067,"Fractal Noise (Fractalverse, #0)",Christopher Paolini,3.45,11537,3237
2068,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,3.83,87574,3236
2069,"Vision to Reality: Stop Working, Start Living",Curtis L. Jenkins,4.31,5391,3236
2070,"A Time for Swords (A Time for Swords, #1)",Matthew Harffy,4.34,2544,3236
2072,Franz Kafka's The Castle,David Fishelson,4.1,28303,3233
2073,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,4.01,25462,3230
2074,A Modest Proposal and Other Satirical Works,Jonathan Swift,4.05,14555,3229
2075,"Requiem (Delirium, #3)",Lauren Oliver,3.73,151029,3229
2076,"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,3.89,106742,3223
2077,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,4.28,101802,3216
2078,"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret Rogerson,4.05,146870,3215
2079,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,4.15,364017,3214
2080,Homo Deus: A History of Tomorrow,Yuval Noah Harari,4.2,262204,3213
2081,Identical,Ellen Hopkins,4.29,64942,3207
2082,"Maybe Someday (Maybe, #1)",Colleen Hoover,3.99,590220,3205
2083,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.7,23646,3203
2084,Galápagos,Kurt Vonnegut Jr.,3.87,83792,3203
2085,The True Confessions of Charlotte Doyle,Avi,3.85,86647,3198
2086,"Ptolemy's Gate (Bartimaeus, #3)",Jonathan Stroud,4.27,87845,3197
2087,"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,4.38,109725,3194
2088,Arrangement in Black and White,Fred Misurella,4.35,610,3193
2089,"The King's Men (All for the Game, #3)",Nora Sakavic,4.58,67779,3190
2090,"The Sweet Far Thing (Gemma Doyle, #3)",Libba Bray,3.97,72415,3187
2091,"Psycho (Psycho, #1)",Robert Bloch,4.12,70993,3187
2092,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,4.26,98348,3187
2093,A Compromising Position,Diane Merrill Wigginton,4.42,1050,3187
2094,"The Sleeper (Lance Spector, #4)",Saul Herzog,4.5,5613,3185
2095,Horns,Joe Hill,3.93,116362,3184
2096,"Everblaze (Keeper of the Lost Cities, #3)",Shannon Messenger,4.49,51106,3184
2097,"Just One Day (Just One Day, #1)",Gayle Forman,3.98,85731,3182
2098,Hard Times,Charles Dickens,3.55,70324,3180
2099,What Happened,Hillary Rodham Clinton,3.93,60122,3180
2100,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,4.35,133202,3180
2101,"Chain of Iron (The Last Hours, #2)",Cassandra Clare,4.42,81185,3179
2102,The Unquiet Bones,Loreth Anne White,4.21,17501,3179
2103,"Thud! (Discworld, #34; City Watch, #7)",Terry Pratchett,4.35,75307,3177
2104,Mindset: The New Psychology of Success,Carol S. Dweck,4.1,159008,3172
2105,The Wife in the Photo,Emily Shiner,3.72,4700,3171
2106,"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,4.06,127881,3170
2107,Scary Smart: The Future of Artificial Intelligence and How You Can Save Our World,Mo Gawdat,3.83,2556,3165
2108,The Sword of Kaigen,M.L. Wang,4.47,43841,3161
2109,From Lukov with Love,Mariana Zapata,4.22,262590,3158
2110,Homecoming Queen,Chad Boudreaux,4.36,1044,3156
2111,"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,4.22,103341,3154
2112,"Silk Road (Epic Adventure, #1)",Colin Falconer,4.27,8515,3154
2113,Code Red (Mitch Rapp #22),Kyle Mills,4.42,16960,3154
2114,The Ancient Code (The Ancient Secrets #1),T.S. Falk,4.27,2988,3149
2115,"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.9,209270,3146
2116,Bag of Bones,Stephen King,3.92,203224,3141
2117,Confessions,Augustine of Hippo,3.97,66462,3141
2118,"Haroun and the Sea of Stories (Khalifa Brothers, #1)",Salman Rushdie,3.99,36137,3138
2119,The Twits,Roald Dahl,3.97,147303,3136
2120,Lisey's Story,Stephen King,3.7,89715,3132
2121,"False Flag (Jason Trapp, #2)",Jack Slater,4.53,9950,3130
2122,"The Cat in the Hat Comes Back (The Cat in the Hat, #2)",Dr. Seuss,3.91,31622,3125
2123,Warbreaker,Brandon Sanderson,4.3,224053,3123
2125,"Second Foundation (Foundation, #3)",Isaac Asimov,4.27,190426,3117
2126,"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,4.04,147068,3116
2127,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,4.13,162142,3116
2128,Wives and Daughters,Elizabeth Gaskell,4.12,49147,3113
2129,The Selected Writings of Edgar Allan Poe,Edgar Allan Poe,4.3,1586,3112
2130,Tell the Wolves I'm Home,Carol Rifka Brunt,4.03,145722,3112
2131,"Reason to Breathe (Breathing, #1)",Rebecca Donovan,4.21,94027,3109
2132,Get Rich or Get Lucky,Max Nowaz,4.25,11068,3108
2133,"Kiss of Midnight (Midnight Breed, #1)",Lara Adrian,3.93,65867,3107
2134,"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,3.95,111642,3107
2136,Infidel,Ayaan Hirsi Ali,4.19,90930,3101
2138,Buddenbrooks: The Decline of a Family,Thomas Mann,4.19,31861,3097
2139,I Remember You,Brian Freeman,4.08,3625,3095
2140,The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics,4.36,221,3092
2141,Prey,Michael Crichton,3.78,180283,3091
2142,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)",J.K. Rowling,4.69,67403,3085
2143,Down and Rising,Rohith S. Katbamna,4.71,230,3081
2144,Black Boy,Richard Wright,4.09,54482,3079
2145,The Electric Kool-Aid Acid Test,Tom Wolfe,3.92,76679,3074
2146,The Lords of Discipline,Pat Conroy,4.34,28953,3072
2147,"The House at Pooh Corner (Winnie-the-Pooh, #2)",A.A. Milne,4.38,470942,3070
2148,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,3.86,19324,3067
2149,"Rise of the Evening Star (Fablehaven, #2)",Brandon Mull,4.18,129834,3065
2150,Before I Die,Jenny Downham,3.81,56819,3062
2151,"Some Girls Bite (Chicagoland Vampires, #1)",Chloe Neill,3.98,64973,3059
2152,The Seventh Spark: Volume One – Knights of the Trinity,J.B. Lion,4.32,3653,3059
2153,"Seraphina (Seraphina, #1)",Rachel Hartman,3.94,87779,3057
2154,"Flash Point (Jason Trapp, #3)",Jack Slater,4.52,7252,3055
2155,"The Bridge on the Drina (Bosnian Trilogy, #1)",Ivo Andrić,4.33,22674,3054
2156,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96,602519,3053
2157,"King's Cage (Red Queen, #3)",Victoria Aveyard,3.9,266498,3053
2158,Heart of a Dog,Mikhail Bulgakov,4.1,63025,3050
2159,"Xenocide (Ender's Saga, #3)",Orson Scott Card,3.82,160194,3048
2160,A Bird Without Wings,Roberta Pearce,4.22,198,3046
2161,"By the Unholy Hand (Executioner Knights, #1)",Kathryn Le Veque,4.42,1600,3043
2162,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,4.03,339048,3041
2163,Crying in H Mart,Michelle Zauner,4.26,477591,3041
2164,Winter's Mourn (Winter Black #1),Mary Stone,4.31,24978,3040
2165,"Defy Me (Shatter Me, #5)",Tahereh Mafi,4.27,271107,3037
2166,We Are the Ants,Shaun David Hutchinson,4.11,51098,3036
2167,Horton Hears a Who!,Dr. Seuss,4.21,111020,3029
2168,"Relic (Pendergast, #1)",Douglas Preston,4.05,110741,3029
2169,1776,David McCullough,4.1,235460,3028
2170,"The Call of the Wild, White Fang and Other Stories",Jack London,4.05,22570,3027
2171,"The Magicians (The Magicians, #1)",Lev Grossman,3.53,268102,3026
2172,"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,3.96,61937,3025
2173,Sidewinder (Rachel Hatch #11),L.T. Ryan,4.5,4994,3025
2174,"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",Anne Bishop,4.39,14049,3024
2175,Starship Sakira (Delphi in Space #1),Bob Blanton,4.22,4494,3024
2176,"Saphirblau (Edelstein-Trilogie, #2)",Kerstin Gier,4.18,115831,3023
2178,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.17,74196,3019
2179,"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,3.9,44089,3017
2180,After Forever Ends,Melodie Ramone,4.05,1538,3016
2181,"The Black Order (Tom Clancy's Op-Center, #20)",Jeff Rovin,3.89,1051,3015
2182,The Brothers Lionheart,Astrid Lindgren,4.35,38895,3014
2183,"Wild Magic (Immortals, #1)",Tamora Pierce,4.31,81242,3013
2184,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3.1)",George R.R. Martin,4.46,85206,3012
2185,"The Long Game (The Far Reaches, #4)",Ann Leckie,3.65,6577,3012
2186,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.83,166516,3011
2187,"Slave to Sensation (Psy-Changeling, #1)",Nalini Singh,4.09,76141,3011
2188,"The Human Obsession (Manufactured Identity, #3)",Heath Sommer,4.18,196,3007
2189,Our Mutual Friend,Charles Dickens,4.09,30187,3003
2191,"The Diviners (The Diviners, #1)",Libba Bray,3.94,99926,2998
2192,"Finale (Caraval, #3)",Stephanie Garber,4.16,261234,2996
2193,"Men Are from Mars, Women Are from Venus",John Gray,3.58,193223,2994
2194,"The Lost World (Jurassic Park, #2)",Michael Crichton,3.86,162153,2989
2195,"Shadowland (The Immortals, #3)",Alyson Noel,3.66,84898,2985
2196,Gates of Fire,Steven Pressfield,4.4,39950,2981
2197,The Magic of Ordinary Days,Ann Howard Creel,3.9,10457,2981
2198,Blood Debt (Rogue Warrior #2),Ian Loome,4.41,2722,2978
2199,O Pioneers!,Willa Cather,3.9,55348,2977
2200,Oranges Are Not the Only Fruit,Jeanette Winterson,3.73,83776,2976
2201,"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,4.13,240496,2976
2202,"Lord of Shadows (The Dark Artifices, #2)",Cassandra Clare,4.41,150713,2974
2203,"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma",Mustafa Suleyman,3.85,7299,2972
2204,By the River Piedra I Sat Down and Wept,Paulo Coelho,3.57,104531,2968
2205,"Chain Reaction (Perfect Chemistry, #3)",Simone Elkeles,4.09,64312,2967
2206,The Husband's Secret,Liane Moriarty,3.95,691691,2967
2207,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,3.95,211708,2965
2208,"Winesburg, Ohio",Sherwood Anderson,3.84,35491,2964
2209,Unmasking AI: My Mission to Protect What Is Human in a World of Machines,Joy Buolamwini,4.18,1083,2963
2210,Our Town,Thornton Wilder,3.73,56090,2961
2211,I've Got Your Number,Sophie Kinsella,3.94,231523,2959
2212,"Tangled (Tangled, #1)",Emma Chase,4.04,119755,2959
2213,"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,3.81,58598,2954
2214,Sphere,Michael Crichton,3.83,189828,2952
2215,Black Eagle (Jason Trapp #6),Jack Slater,4.51,4205,2949
2216,"Morning Star (Red Rising Saga, #3)",Pierce Brown,4.52,258669,2947
2217,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,4.04,87473,2946
2218,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,4.03,140901,2946
2219,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.29,224669,2943
2220,"The Raven King (The Raven Cycle, #4)",Maggie Stiefvater,4.25,150186,2941
2221,Moon Palace,Paul Auster,3.98,26796,2940
2222,Roadside Picnic,Arkady Strugatsky,4.14,73487,2939
2223,"The Last Sentinel (Clayton White, #2)",Simon Gervais,4.34,4555,2939
2224,"Fluency (Confluence, #1)",Jennifer Foehner Wells,3.83,11367,2937
2225,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04,424497,2936
2226,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,3.94,163340,2935
2227,"Slow Time Between the Stars (The Far Reaches, #6)",John Scalzi,4.18,10924,2928
2228,The Year of Magical Thinking,Joan Didion,3.93,261834,2924
2229,The Egyptian,Mika Waltari,4.21,25418,2924
2230,"Hard Knocks (SC Marva Collins, #3)",Nathan Lowell,4.52,2320,2922
2231,"The City of Dreaming Books (Zamonia, #4)",Walter Moers,4.39,22230,2920
2232,"Deity (Covenant, #3)",Jennifer L. Armentrout,4.32,69841,2916
2233,"Blood Red Road (Dust Lands, #1)",Moira Young,3.91,61955,2916
2234,House Rules,Jodi Picoult,4.04,179353,2912
2235,Lore,Alexandra Bracken,3.75,98186,2911
2236,The Dragon Queen (The Dragon #2),William Andrews,4.25,5268,2908
2237,"A Memory of Light (The Wheel of Time, #14)",Robert Jordan,4.57,149935,2906
2238,"Reached (Matched, #3)",Ally Condie,3.54,171146,2906
2239,"Splintered (Splintered, #1)",A.G. Howard,3.9,65285,2903
2240,Maus: A Survivor's Tale II: And Here My Troubles Began,Art Spiegelman,4.42,151824,2899
2241,"The Naturals (The Naturals, #1)",Jennifer Lynn Barnes,4.19,190787,2896
2242,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,3.88,1207351,2894
2243,"Along Came a Spider (Alex Cross, #1)",James Patterson,4.13,466434,2892
2244,"Lies, Inc.",Philip K. Dick,3.2,3400,2892
2245,The Mill on the Floss,George Eliot,3.83,56551,2889
2246,"Pure (Covenant, #2)",Jennifer L. Armentrout,4.26,77809,2885
2247,"Dark Flame (The Immortals, #4)",Alyson Noel,3.73,64310,2883
2248,Faust,Johann Wolfgang von Goethe,3.86,128850,2882
2249,"Wolf's Head (The Forest Lord, #1)",Steven A. McKay,4.03,2537,2881
2250,"The Space Between Worlds (The Space Between Worlds, #1)",Micaiah Johnson,3.94,40545,2880
2251,Duma Key,Stephen King,3.98,128087,2879
2252,Last Exit to Brooklyn,Hubert Selby Jr.,3.92,27976,2878
2253,Dust Child,Nguyễn Phan Quế Mai,4.24,13496,2878
2254,Batman: The Killing Joke,Alan Moore,4.37,227891,2876
2255,Dragon Seed,Pearl S. Buck,4.1,3393,2873
2256,Homegoing,Yaa Gyasi,4.47,361581,2872
2257,"The Long Goodbye (Philip Marlowe, #6)",Raymond Chandler,4.19,43885,2871
2258,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,4.37,141882,2869
2259,"Captive Prince (Captive Prince, #1)",C.S. Pacat,3.8,103798,2868
2260,Recursion,Blake Crouch,4.17,259375,2867
2261,The Last Dying Light,William Havelock,4.39,1880,2867
2262,"Shadowland (The Mediator, #1)",Jenny Carroll,4.04,70178,2865
2263,"The Numbing (Whiteout, #3)",Flint Maxwell,4.16,1799,2862
2264,"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,4.55,131943,2861
2265,Os Maias,Eça de Queirós,3.99,25321,2860
2266,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,4.38,198669,2860
2267,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky Chambers,4.26,132280,2860
2268,"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,4.23,133121,2857
2269,"Nightfall (The Vampire Diaries: The Return, #1)",L.J. Smith,3.55,53283,2852
2270,The Book of Why: The New Science of Cause and Effect,Judea Pearl,3.95,6018,2848
2271,What We Talk About When We Talk About Love,Raymond Carver,4.03,70308,2844
2272,Amy & Roger's Epic Detour,Morgan Matson,3.98,94247,2839
2273,عزازيل,Youssef Ziedan,4.03,51363,2836
2274,The Richest Man in Babylon,George S. Clason,4.25,215605,2834
2275,"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,4.1,73018,2834
2276,"Icebreaker (UCMH, #1)",Hannah Grace,3.81,963760,2834
2277,"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal,3.88,99467,2832
2278,"Beyond the Shadows (Night Angel, #3)",Brent Weeks,4.27,100656,2829
2279,The Mountains Sing,Nguyễn Phan Quế Mai,4.32,49921,2827
2281,Island,Aldous Huxley,3.86,33126,2823
2282,Daughters of the Dragon (The Dragon #1),William Andrews,4.47,22692,2822
2283,No Exit and Three Other Plays,Jean-Paul Sartre,4.08,29500,2820
2284,Rage of Angels,Sidney Sheldon,3.96,39585,2820
2285,The House at Riverton,Kate Morton,3.95,120544,2819
2286,We the Living,Ayn Rand,3.95,29889,2815
2287,The Autobiography of Malcolm X,Malcolm X,4.36,274462,2815
2288,"A Gathering of Shadows (Shades of Magic, #2)",Victoria E. Schwab,4.21,209918,2814
2289,El túnel,Ernesto Sabato,4.02,80083,2810
2290,"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,4.19,182180,2809
2291,"The Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,4.17,354036,2808
2292,Heart-Shaped Box,Joe Hill,3.84,142575,2807
2293,Homage to Catalonia,George Orwell,4.09,64048,2807
2294,Dance Dance Dance,Haruki Murakami,4.05,92639,2805
2295,"Firestarters: How Innovators, Instigators, and Initiators Can Inspire You to Ignite Your Own Life",Raoul Davis Jr.,4.29,4918,2800
2296,"Witches Abroad (Discworld, #12; Witches, #3)",Terry Pratchett,4.25,92360,2798
2297,"The Forbidden Game (The Forbidden Game, #1-3)",L.J. Smith,4.19,22371,2796
2298,The Anomaly,Hervé Le Tellier,3.8,57834,2794
2299,"The Spy Coast (The Martini Club, #1)",Tess Gerritsen,4.35,77299,2792
2300,A Tale for the Time Being,Ruth Ozeki,4.06,126057,2791
2301,The Orphanage By The Lake,Daniel G. Miller,3.99,24060,2790
2302,Dreamland,Sarah Dessen,3.91,82843,2788
2303,Firestarter,Stephen King,3.91,234970,2787
2304,"John Dies at the End (John Dies at the End, #1)",David Wong,3.87,78603,2786
2305,"Dance with the Devil (Dark-Hunter, #3)",Sherrilyn Kenyon,4.37,66055,2786
2306,Co-Intelligence: Living and Working with AI,Ethan Mollick,4.11,4330,2786
2307,"The Novice (Black Magician Trilogy, #2)",Trudi Canavan,4.08,61714,2784
2308,Housekeeping,Marilynne Robinson,3.81,55280,2782
2309,The Chestnut Man,Søren Sveistrup,4.21,74368,2781
2310,NIGHT TERROR: A Genetics Investigation Team Thriller,Russ Tilton,4.34,836,2780
2311,Thousand Pieces of Gold,Ruthanne Lum McCunn,3.89,2642,2776
2312,"Fragile Eternity (Wicked Lovely, #3)",Melissa Marr,3.84,44226,2775
2313,Ghosts,Dolly Alderton,3.88,123082,2773
2314,"Son of Mercia (Eagle of Mercia Chronicles, #1)",M.J. Porter,4.22,1765,2772
2316,A Gracious Enemy & After the War Volume Two,Michael G. Kramer,4.29,6155,2770
2318,The Alice Network,Kate Quinn,4.32,530590,2762
2319,The Frozen River,Ariel Lawhon,4.42,165762,2762
2320,Someone Like You,Sarah Dessen,3.92,104702,2761
2322,"Ship of Magic (Liveship Traders, #1)",Robin Hobb,4.22,89578,2760
2323,Little Fires Everywhere,Celeste Ng,4.07,1225094,2757
2324,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,4.11,114049,2756
2325,"Alas, Babylon",Pat Frank,4.08,46646,2753
2326,"My Family and Other Animals (Corfu Trilogy, #1)",Gerald Durrell,4.17,58481,2753
2327,A Visit from the Goon Squad,Jennifer Egan,3.7,235310,2748
2328,The Guardian of Secrets and Her Deathly Pact,Jana Petken,4.22,1494,2748
2329,Financial Feminist: Overcome the Patriarchy's Bullsh*t to Master Your Money and Build a Life You Love,Tori Dunlap,4.09,12105,2745
2330,"Night Watch (Watch, #1)",Sergei Lukyanenko,3.97,44258,2744
2331,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.46,1109140,2741
2332,"Reckless (Thoughtless, #3)",S.C. Stephens,4.4,78103,2736
2333,A House in the Sky,Amanda Lindhout,4.27,67559,2734
2334,"The Coincidence of Callie & Kayden (The Coincidence, #1)",Jessica Sorensen,4.16,116808,2731
2335,Bumi Manusia,Pramoedya Ananta Toer,4.42,20445,2730
2336,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,4.13,203228,2728
2337,"The Rise of Nine (Lorien Legacies, #3)",Pittacus Lore,4.17,109491,2727
2338,"Shadow's Edge (Night Angel, #2)",Brent Weeks,4.25,105699,2725
2339,The Executioner's Song,Norman Mailer,4.05,22182,2725
2340,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,4.08,99480,2720
2341,"Fruits Basket, Vol. 1",Natsuki Takaya,4.29,198391,2719
2342,"The Andromeda Strain (Andromeda, #1)",Michael Crichton,3.91,260918,2716
2343,The Hobbit,Chuck Dixon,4.51,249276,2711
2344,The Man Without Qualities,Robert Musil,4.19,6914,2711
2345,"Rage and Ruin (The Harbinger, #2)",Jennifer L. Armentrout,4.14,40731,2711
2346,The Return of the Native,Thomas Hardy,3.88,39161,2710
2347,"Kings Rising (Captive Prince, #3)",C.S. Pacat,4.43,68239,2704
2348,Anathem,Neal Stephenson,4.17,72929,2702
2349,"The Tea Rose (The Tea Rose, #1)",Jennifer Donnelly,4.22,39076,2700
2350,Lips of a Mastodon,Ted Bernal Guevara,3.57,2904,2700
