Index,Book Name,Author,Rating,Number of Votes,Score,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
45,the outsiders,S.E. Hinton,4.13,1416288,690849,9780141314570.0,0141314575,the outsiders,,S. E. Hinton,Alienation (Social psychology),http://books.google.com/books/content?id=LOnpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Socs's idea of having a good time is beating up Greasers like Ponyboy, the rough, tough, long-haired kids from the other side of town. Ponyboy knows what to expect and knows he can count on his friends - until the night someone goes too far.",2002.0,4.08,218.0,2559.0
45,the outsiders,S.E. Hinton,4.13,1416288,690849,9780143039853.0,0143039857,the outsiders,,S. E. Hinton;Jodi Picoult,Fiction,http://books.google.com/books/content?id=9PyIPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The struggle of three brothers to stay together after their parent's death and their quest for identity among the conflicting values of their adolescent society.,1967.0,4.08,160.0,1558.0
46,"a game of thrones (a song of ice and fire, #1)",George R.R. Martin,4.44,2570042,684525,,,,,,,,,,,,
47,1984,George Orwell,4.19,4840037,682659,9780452284234.0,0452284236,1984,,George Orwell,London (England),http://books.google.com/books/content?id=Ocq6hABFxOEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Portrays a terrifying vision of life in the future when a totalitarian government, considered a ""Negative Utopia,"" watches over all citizens and directs all activities, becoming more powerful as time goes by.",2003.0,4.17,339.0,9298.0
48,little women,Louisa May Alcott,4.16,2303183,681160,9781904633273.0,1904633277,little women,,Louisa May Alcott,Family life,http://books.google.com/books/content?id=lH7BZwiYplEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Timeless in its evocation of idealised family life and robustly enduring, Little Women is recognised as one of the best-loved classic children's stories of all time. Originally written as a 'girls' story', its appeal transcends the boundaries of time and age, making it as popular with adults as it is with young readers. For this is a beguiling story of happiness and hope, of the joys of companionship, domestic harmony and infinite mother love, all seen through the life of the March family. But which of the four March sisters to love best? For every reader must have their favourite. Independent, tomboyish Jo; delicate, loving Beth; pretty, kind Meg, or precocious and beautiful Amy, the baby of the family? Little Women was an instant success when first published in 1868, and followed only a year later by the sequel, Little Wives.",2004.0,4.06,327.0,74.0
49,"a wrinkle in time (time quintet, #1)",Madeleine L'Engle,3.98,1228390,628764,,,,,,,,,,,,
50,"harry potter and the sorcerer’s stone (harry potter, #1)",J.K. Rowling,4.47,10469761,618962,,,,,,,,,,,,
51,"harry potter and the deathly hallows (harry potter, #7)",J.K. Rowling,4.62,3837660,617612,,,,,,,,,,,,
52,the odyssey,Homer,3.81,1114136,612276,9780451527363.0,0451527364,the odyssey,The Story of Odysseus,Homer,Fiction,http://books.google.com/books/content?id=h7um_MHBNFoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Presents in prose translation the story of Odysseus' return from the Trojan War to his homeland,1999.0,3.75,304.0,252.0
52,the odyssey,Homer,3.81,1114136,612276,9780486406541.0,0486406547,the odyssey,,Homer;George Herbert Palmer,Poetry,http://books.google.com/books/content?id=udcwDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Excellent prose translation of the ancient epic poem recounts the adventures of Odysseus on his homeward voyage from the Trojan War. The clever hero circumvents the wrath of Poseidon to overcome an incredible array of obstacles, including a fantastic cast of adversaries — Cyclops, the one-eyed giant; the enchantress Circe; plus cannibals, sirens, and many other monstrous creatures. A selection of the Common Core State Standards Initiative.",1998.0,3.75,239.0,236.0
